,Date,Country,City,Killed,Injured,Total,Description
229,30/5/2002,India,Thuru,2,0,2,Two security personnel are killed in a Jihad ambush.
230,30/5/2002,India,Doda,3,3,6,A Fedayeen attack on a police station leaves three officers dead and three injured.
231,31/5/2002,India,Gonikhan,1,16,17,A Jihadi kills a young child and injures sixteen others with a grenade.
232,31/5/2002,India,Srinagar,0,14,14,Fourteen people are critically injured in a grenade attack by a militant Muslim.
233,1/6/2002,India,Anantnag,0,18,18,Three women are among eighteen victims of a grenade attack on a city street.
234,2/6/2002,England,"Orpington, Kent",1,0,1,33-year-old British man beaten to death by a Muslim gang.
235,2/6/2002,Philippines,Jolo,1,2,3,Abu Sayyaf militants abduct three sailors and hold them for nearly a year.  Two escape and one is executed.
236,2/6/2002,India,Kashmir,2,0,2,Two civilians are murdered is separate Mujahideen attacks (Gudder & Botingo).
237,3/6/2002,India,Dureja,1,0,1,Muslims kill a woman for granting official approval to an inter-religious marriage.
238,5/6/2002,India,Bangalore,2,0,2,A Christian man and his Muslim wife are captured and hacked to death by her family for marrying outside Islam.  Their one-year-old baby is spared.
239,5/6/2002,India,Kashmir,3,0,3,Three civilians are killed by Jihadis in separate attacks.
240,5/6/2002,Indonesia,Tentena,4,17,21,"A bomb planted by Muslim radicals explodes on a church bus killing four, including the pastor, and wounding seventeen."
241,5/6/2002,Israel,Afula,17,38,55,Seventeen people killed by a Muslim suicide bomber while riding in a bus. Thirty-eight others were injured.
242,6/6/2002,Afghanistan,Kabul,2,0,2,The country's Deputy President and his driver are assassinated by the Taliban.
243,6/6/2002,Nigeria,Katsina,1,0,1,A Muslim mob clubs a Christian police officer to death after a cleric makes false charges that he trampled a Qur'an.
