Country,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,Female,6.335726,8.45800972,6.808572,7.001296,7.073396,7.128346,10.05395985,7.1397,7.40053,7.451479,7.6110217,7.518429,10.45191002,10.50557995,10.60486984,7.693972,7.708672,7.138186
Guinea,Female,6.335726,6.746629,6.808572,5.179820061,5.685929775,6.098830223,6.915052,6.65376997,7.40053,7.451479,7.191120148,7.518429,7.347691,7.670149803,7.85218,7.693972,7.708672,7.138186
Guinea-Bissau,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Guyana,Female,6.335726,6.746629,6.808572,7.001296,11.65577984,7.128346,10.83401966,10.87835979,10.79955959,11.17660999,11.6598196,11.5916996,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Haiti,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
High income,Female,15.17966,15.28589,15.45456,15.56094,15.73029,15.77057,15.84333,15.94941,16.07054,16.17615,16.26431,16.30116,16.60036,16.67629,16.72638,16.71888,16.75045,16.75151
Honduras,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,10.73367023,7.40053,10.74431038,7.6110217,10.55010986,10.32806015,10.05037022,10.33073044,10.36417961,10.49096012,7.138186
"Hong Kong SAR, China",Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,15.72297001,16.19437981,16.46666908,16.64624977,16.69223022,16.83182907,17.14542961
Hungary,Female,14.85900974,15.22624016,15.68037987,15.38029957,15.6750803,15.82437992,15.81387997,15.7535696,15.6155901,15.64941025,15.52937984,15.5559597,16.01371956,15.81624031,15.56669998,15.39906025,15.52507973,15.42066956
IBRD only,Female,9.84351,10.07627,10.49254,10.68899,10.91812,11.08514,11.38477,11.68292,11.8033,12.04879,12.31159,12.59545,12.94611,13.17697,13.30519,13.57878,13.58647,13.39945
Iceland,Female,18.02345085,18.58865929,19.40562057,19.03070068,19.25,19.47241974,19.54546928,19.70076942,19.6007309,19.76332092,19.67733002,19.93795013,20.6640892,20.82847023,20.4957695,20.36582947,20.16456985,20.21241951
IDA & IBRD total,Female,8.77272,8.9808,9.33324,9.52373,9.75744,9.92462,10.14988,10.39467,10.5281,10.74917,10.97214,11.20827,11.47844,11.61219,11.70493,11.87568,11.87853,11.78404
IDA blend,Female,6.40468,6.42923,6.72694,7.08106,7.3144,7.43497,7.4162,7.40774,7.6644,7.87663,8.00006,8.27794,8.59927,8.4157,8.4199,8.40464,8.38062,8.48337
IDA only,Female,6.32521,6.64695,6.88896,7.03667,7.3259,7.60704,7.81168,8.09733,8.28425,8.48221,8.70529,8.84055,8.91681,8.98669,9.07223,9.12371,9.17876,9.29127
IDA total,Female,6.36277,6.58599,6.84661,7.06137,7.33235,7.56068,7.6928,7.88282,8.09238,8.29443,8.48418,8.66488,8.82045,8.80612,8.86419,8.89279,8.92081,9.02938
India,Female,7.371280193,7.649390221,8.612999916,7.001296,7.073396,7.128346,9.750349998,7.1397,10.22719002,10.53427029,11.01766968,7.518429,11.89286995,12.2393198,12.32855988,12.87872982,12.63871002,7.138186
Indonesia,Female,10.43492031,10.61417961,10.80105019,10.91154957,7.073396,10.87007046,11.55852985,11.55058956,12.01741982,12.37477016,12.61985016,12.97548008,12.91466045,12.86707973,13.31348038,13.41810989,13.59187031,13.67323971
"Iran, Islamic Rep.",Female,11.27871037,11.32011986,11.38035011,11.43525028,11.38751984,11.67446995,12.04580021,12.56795979,12.5469799,12.62607002,13.07641029,14.59694958,14.34428024,14.35857964,7.85218,14.66948032,14.57489967,7.138186
Iraq,Female,6.335726,6.746629,6.808572,8.752079964,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Ireland,Female,17.10586929,17.39608955,17.60222054,17.43943024,17.49482918,17.1386795,17.16287041,17.39962959,17.18153,17.58342934,17.94301987,17.94623947,7.347691,18.41872978,18.82530975,18.87408066,18.79072952,20.23126984
Isle of Man,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Israel,Female,15.90450954,16.61676979,16.41711044,16.36264992,16.3393898,16.17786026,16.38879967,16.19498062,16.32476044,16.55104065,16.61714935,16.61894035,16.65642929,16.67407036,16.71203041,16.69721985,16.76586914,16.73111916
Italy,Female,15.62792969,15.78771973,16.09992981,16.35596085,16.53384972,16.73896027,16.82862091,16.90970993,16.96335983,16.95820999,17.22347069,16.98283005,16.6263504,16.5403595,16.45290947,16.43748093,16.41448021,16.47941971
Jamaica,Female,11.2014904,12.33115959,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,13.34766006,7.693972,7.708672,7.138186
Japan,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Jordan,Female,6.335726,12.4780302,12.82608986,13.00831032,12.88895988,12.91835022,12.80657959,12.7514801,7.40053,11.74907017,11.40793991,11.27707958,7.347691,7.556197,7.85218,7.693972,10.26461029,10.57273006
Kazakhstan,Female,6.335726,6.746629,6.808572,7.001296,7.073396,15.21463966,6.915052,7.1397,7.40053,14.84595966,15.11361027,15.43463993,15.42251968,15.47875023,15.52320957,15.48101997,15.65664959,15.77939987
Kenya,Female,8.100199699,7.811699867,6.808572,8.855019569,8.958180428,7.128346,9.397040367,7.1397,9.92936039,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Kiribati,Female,12.29918957,12.04594994,12.84440041,12.74619961,12.53633976,12.21014977,12.15054035,12.24913979,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
